Player,Clairen,Fors,Zetter,Wrastor,Absa,Elli,Sylv,Maypul,Kragg,Orcane,Etalus,Ranno,Ori,SK
Sam,10,14,5,2,3,7,13,1,9,12,8,6,4,11
Pity,10,11,6,4,3,5,13,2,9,8,14,7,1,12
Squanto,9,12,7,1,6,5,13,3,10,8,14,4,2,11
Soulrifle211,5,11,4,2,7,8,10,3,13,12,9,6,1,14
CAKEASSAULT,11,12,7,1,6,4,8,3,14,13,9,5,2,10
Bagl,10,11,5,3,4,12,9,2,14,7,13,6,1,8
Penguin,10,12,6,3,5,4,9,2,14,11,13,8,1,7
Gingo Bonsnr,10,12,6,2,3,7,14,4,13,9,11,5,1,8
ZeeBo,9,10,8,2,3,7,14,4,11,12,5,6,1,13
Akashi,9,12,5,1,6,7,14,2,11,8,13,4,3,10
julie,9,12,10,4,5,2,13,3,14,8,6,7,1,11
Menace13,9,6,5,2,4,12,10,1,14,13,8,7,3,11
SBS,6,10,7,3,1,14,12,5,11,9,8,4,2,13
protagify,10,7,4,2,3,12,14,1,11,8,5,9,6,13
elpe,7,12,6,1,4,8,14,3,10,11,13,5,2,9
LEVIN,8,10,3,1,4,5,13,2,12,9,14,7,6,11
Nbad,7,10,5,1,3,8,14,2,13,9,12,6,4,11
Kobra,8,14,6,1,5,4,12,2,13,10,11,7,3,9
Xaro,10,8,5,1,4,6,9,2,12,11,14,7,3,13
hoppyKnitz,12,9,2,4,8,6,7,1,13,5,11,10,3,14
Seggo,11,13,6,1,3,9,14,4,7,10,8,5,2,12
Kusi,8,13,6,1,4,5,11,2,12,10,14,7,3,9
Adi,11,8,7,2,5,4,13,1,14,10,9,6,3,12
backpack,11,8,6,4,2,7,14,3,12,9,13,5,1,10
MSB,6,10,12,1,3,7,13,4,11,8,9,5,2,14
Jerrell Halite,10,12,6,1,4,5,14,2,9,8,11,7,3,13
BULLETS,11,8,3,1,5,9,10,2,14,12,7,6,4,13
Dakoda,10,12,5,2,3,9,13,1,8,7,11,6,4,14
10S,9,12,7,1,4,5,11,3,13,8,10,6,2,14
HKP,10,12,5,4,3,7,13,1,11,8,14,6,2,9
Chompers,7,11,6,4,3,10,14,8,5,12,1,9,2,13
Dbrick,8,6,5,1,3,4,13,9,14,7,11,10,2,12
Tapscott,10,5,7,2,4,6,11,1,13,8,12,9,3,14
Guard,7,12,11,1,2,5,14,4,13,8,9,6,3,10
Mentos,10,9,8,4,2,11,13,5,12,3,14,7,1,6
Fireicey,5,11,3,4,2,8,14,12,7,9,10,6,1,13
starbos,9,6,7,1,4,10,14,3,13,8,11,5,2,12
